@relation chat

@attribute class_conducta {1,2,3,4,5,6,7,8,9,10,11,12}
@attribute class_reaccion {positiva,negativa,pregunta,respuesta}
@attribute class_area {socio-emocional,tarea}
@attribute mensaje string
@attribute adjectives numeric
@attribute adverbs numeric
@attribute determinants numeric
@attribute names numeric
@attribute verbs numeric
@attribute pronouns numeric
@attribute conjuctions numeric
@attribute interjections numeric
@attribute prepositions numeric
@attribute punctuation numeric
@attribute numerals numeric
@attribute dates_times numeric

@data
4,respuesta,tarea,'cada uno leer , y investigar , que respuesta ir en cada incito , ser más si querer hacer hoja nuevo y anotar el más breve que poder ahí su respuesta . ',2,3,4,4,8,2,4,0,1,4,0,0
4,respuesta,tarea,'después cuando estar todo lo mermemos , y si nos desenconáramos lo hacer mediante comentario para saber qué opinar el otro . ',0,1,1,1,6,6,3,0,2,2,0,0
4,respuesta,tarea,'de ese manera todo estar hacendar uno poco de cada incito , y cooperar para cada resultado . ',0,0,4,3,3,2,1,0,3,2,0,0
3,positiva,socio-emocional,'buen , nos ver el 2 y 3 ',0,0,1,1,1,1,1,0,0,1,2,0
3,positiva,socio-emocional,'buen_is_i_m_o ',0,1,0,0,0,0,0,0,0,0,0,0
1,positiva,socio-emocional,'a el 2 ',0,0,1,0,0,0,0,0,1,0,1,0
6,respuesta,tarea,'abajo no te aparecer quién estar conectar , te aparecer quien ya leer el último que se escribir ',1,3,1,0,6,6,0,0,0,1,0,0
6,respuesta,tarea,'a el trabajo anterior ',1,0,1,1,0,0,0,0,1,0,0,0
3,positiva,socio-emocional,'buen_is_i_m_o ',0,1,0,0,0,0,0,0,0,0,0,0
3,positiva,socio-emocional,'buen_is_i_m_o ',0,1,0,0,0,0,0,0,0,0,0,0
1,positiva,socio-emocional,'bueno yo seguir mañana ',0,1,0,0,1,1,0,1,0,0,0,0
4,respuesta,tarea,'bueno , ir mirar el otro 2 , y todo lo que encontrar de el 3 genial . ',1,0,3,0,3,3,1,1,1,3,2,0
1,positiva,socio-emocional,'nos ver mañana ',0,1,0,0,1,1,0,0,0,0,0,0
3,positiva,socio-emocional,'bueno ',0,0,0,0,0,0,0,1,0,0,0,0
1,positiva,socio-emocional,'che , muy útil el linos de dieno ',1,1,1,2,0,0,0,1,1,1,0,0
3,positiva,socio-emocional,'claro algo así ',0,1,0,1,0,1,0,0,0,0,0,0
6,respuesta,tarea,'como hoy poned tipo [??:??/??/??:7.30:??] ',0,1,0,1,1,0,1,0,0,0,0,1
3,positiva,socio-emocional,'pool ',0,0,0,1,0,0,0,0,0,0,0,0
3,positiva,socio-emocional,'da le da le , nos vemos ',0,0,0,1,2,3,0,0,0,1,0,0
3,positiva,socio-emocional,'da le da le ',0,0,0,0,2,2,0,0,0,0,0,0
3,positiva,socio-emocional,'da le . saludo ',0,0,0,1,1,1,0,0,0,1,0,0
3,positiva,socio-emocional,'da le ',0,0,0,0,1,1,0,0,0,0,0,0
3,positiva,socio-emocional,'da le ',0,0,0,0,1,1,0,0,0,0,0,0
1,positiva,socio-emocional,'disculpar el tardanza . ',0,0,1,1,1,0,0,0,0,1,0,0
6,respuesta,tarea,'estar volver de el faca . ',0,0,1,1,2,0,0,0,1,1,0,0
6,respuesta,tarea,'me hacer esperar más de costumbre faja ',0,1,0,2,2,1,0,0,1,0,0,0
1,positiva,socio-emocional,'disculpar q estar desaparecer , ser q tener q reentrega el compilador en uno rato ? ',0,0,2,2,6,2,1,0,1,2,0,0
6,respuesta,tarea,'el mal no , ya lo tener , el integrante ya lo poner ',0,3,2,2,2,2,0,0,0,2,0,0
6,respuesta,tarea,'el razonamiento_pasado en vasos , ser uno paradigma de resolución de problema con acercamiento de el inteligencia artificial . ',0,0,3,7,2,0,0,0,5,2,0,0
5,respuesta,tarea,'ese entender yo ',0,0,0,0,1,2,0,0,0,0,0,0
6,respuesta,tarea,'este el 3 y después el 2 ',0,1,3,0,0,0,1,0,0,0,2,0
2,positiva,socio-emocional,'esta car_ature_ando_lo ',0,0,0,1,1,0,0,0,0,0,0,0
6,respuesta,tarea,'esta el dominio de aplicación en dibujados ',0,0,1,3,1,0,0,0,2,0,0,0
7,pregunta,tarea,'este serio el ante_ultimo trabajo no ? ',1,2,2,1,0,0,0,0,0,1,0,0
