@relation chat

@attribute class_reaccion {positiva,negativa,pregunta,respuesta}
@attribute class_area {socio-emocional,tarea}
@attribute nombre string
@attribute mensaje string
@attribute adjectives numeric
@attribute adverbs numeric
@attribute determinants numeric
@attribute names numeric
@attribute verbs numeric
@attribute pronouns numeric
@attribute conjuctions numeric
@attribute interjections numeric
@attribute prepositions numeric
@attribute punctuation numeric
@attribute numerals numeric
@attribute dates_times numeric

@data
?,socio-emocional,'','    application_error ',0,0,0,1,0,0,0,0,0,2,0,0
?,tarea,'','n error ocurre i te a_p_plica_t_ion anda yogur pagel copulo noté be servid . ',3,2,0,8,0,0,0,0,0,1,0,0
?,tarea,'','alease tory agamí i a fea momento . ',0,0,0,6,0,0,0,0,1,1,0,0
?,tarea,'','f yo arar te a_p_plica_t_ion orne , checa yogur logo foro detallo . ',2,1,0,6,2,0,0,0,0,2,0,0
?,socio-emocional,'','se me morir ',0,0,0,0,1,2,0,0,0,0,0,0
?,socio-emocional,'','? ? ',0,0,0,0,0,0,0,0,0,2,0,0
?,socio-emocional,'Matias Glessi','nooooooooooooooooooooooooooooooooooooo ',0,0,0,1,0,0,0,0,0,0,0,0
?,socio-emocional,'','ch_abo_n_n_n ',0,0,0,0,1,0,0,0,0,0,0,0
?,socio-emocional,'','no te puedo cree_e_e_e_e_e_e_e_e_e_r ',0,1,0,0,2,1,0,0,0,0,0,0
?,socio-emocional,'','tanto tiempo jugar para nadé ',0,2,0,1,1,0,0,0,1,0,0,0
?,tarea,'Matias Glessi','intentar de nuevo , capaz que quedar todo andar ',2,0,0,0,3,2,0,0,1,1,0,0
?,socio-emocional,'','a ',0,0,0,0,0,0,0,0,1,0,0,0
?,socio-emocional,'','nao no andar ni para atrase ',0,2,0,1,1,0,1,0,1,0,0,0
?,tarea,'','poner f5 y nada ',0,0,0,0,1,1,1,0,0,0,1,0
?,socio-emocional,'','ir tan bien ',0,2,0,0,1,0,0,0,0,0,0,0
?,socio-emocional,'','? ? ',0,0,0,0,0,0,0,0,0,2,0,0
?,tarea,'Matias Glessi','me parecer que tener que reservar otro horario mas muchacho ',0,0,1,2,3,1,3,0,0,0,0,0
?,socio-emocional,'','encima ya se ocupar uno montón ',0,2,1,1,1,1,0,0,0,0,0,0
?,socio-emocional,'Matias Glessi','y hobbys ',0,0,0,1,0,0,1,0,0,0,0,0
?,socio-emocional,'Matias Glessi','[L:??/??/??:??.??:??] ? ',0,0,0,0,0,0,0,0,0,1,0,1
?,socio-emocional,'','a el noche ¡ ',0,0,1,1,0,0,0,0,1,1,0,0
?,tarea,'Matias Glessi','de 20 a 22 ? ',0,0,0,0,0,0,0,0,2,1,2,0
?,tarea,'','estar ocupado o poder haber más ? ',0,1,0,1,3,0,1,0,0,1,0,0
?,tarea,'Matias Glessi','erutan poner 2 gurdos por horario ',0,0,0,2,2,0,0,0,1,0,1,0
?,socio-emocional,'','y sino mañana seguir ser mucho , no ? ',0,3,0,0,2,0,2,0,0,2,0,0
?,tarea,'','porque el [L:??/??/??:??.??:??] capaz se me complicar porque entregar el t de base ',1,0,2,2,2,2,2,0,1,0,0,1
?,tarea,'Matias Glessi','[G:??/??/??:??.??:??] de 22 a 24 ? ',0,0,0,0,0,0,0,0,2,1,2,1
