@relation chat

@attribute class_reaccion {positiva,negativa,pregunta,respuesta}
@attribute class_area {socio-emocional,tarea}
@attribute nombre string
@attribute mensaje string
@attribute adjectives numeric
@attribute adverbs numeric
@attribute determinants numeric
@attribute names numeric
@attribute verbs numeric
@attribute pronouns numeric
@attribute conjuctions numeric
@attribute interjections numeric
@attribute prepositions numeric
@attribute punctuation numeric
@attribute numerals numeric
@attribute dates_times numeric

@data
positiva,tarea,'Mirko Hrubik','le parecer que hablar todo por acá ? ',0,0,0,1,2,2,1,0,1,1,0,0
positiva,tarea,'Jose Benitez','mientras q quedar no haber drama ',0,1,0,1,2,0,2,0,0,0,0,0
positiva,socio-emocional,'Mirko Hrubik','el historial ? ',0,0,1,1,0,0,0,0,0,1,0,0
positiva,tarea,'Mirko Hrubik','el activo en el configuración ',1,0,2,1,0,0,0,0,1,0,0,0
positiva,tarea,'Jose Benitez','si por el de el drive no quedar ',0,1,2,2,1,0,1,0,1,0,0,0
positiva,socio-emocional,'Camila Robles','si , joya ',0,0,0,1,0,0,1,0,0,1,0,0
negativa,tarea,'Camila Robles','mejor , el otro no se guardar ',0,2,1,0,1,2,0,0,0,1,0,0
positiva,socio-emocional,'Camila Robles','que hacer entonces ? ',0,1,0,0,1,0,1,0,0,1,0,0
positiva,tarea,'Camila Robles','mañana a el 17 nos conectar todo , no ? ',0,2,1,0,1,2,0,0,1,2,1,0
positiva,socio-emocional,'Jose Benitez','sidi ',0,1,0,0,0,0,0,0,0,0,0,0
positiva,socio-emocional,'Jose Benitez','? ? ',0,0,0,0,0,0,0,0,0,2,0,0
positiva,tarea,'Jose Benitez','  faltar que contestar luces nomás . . ',1,0,0,1,2,0,1,0,0,3,0,0
positiva,socio-emocional,'Mirko Hrubik','si ya saber luces ',0,1,0,1,1,0,1,0,0,0,0,0
positiva,tarea,'Mirko Hrubik','vivir conmigo ',0,0,0,0,1,1,0,0,0,0,0,0
positiva,socio-emocional,'Mirko Hrubik','? ? ',0,0,0,0,0,0,0,0,0,2,0,0
positiva,socio-emocional,'Jose Benitez','genial ',1,0,0,0,0,0,0,0,0,0,0,0
negativa,tarea,'Mirko Hrubik','lo tener a el lado ',0,0,1,1,1,1,0,0,1,0,0,0
positiva,socio-emocional,'Camila Robles','jajajá buen_is_i_m_o ',0,1,0,0,0,0,0,1,0,0,0,0
positiva,tarea,'Camila Robles','estar pensar que por ah mañana después de rendir paso por el biblioteca y saco alguno librazo de este , si haber ',0,4,1,4,4,1,3,0,4,1,0,0
positiva,tarea,'Camila Robles','por ah servir porque seguro que todo el mundo usar el recurso internet ',0,2,3,3,2,0,2,0,1,0,0,0
positiva,socio-emocional,'Camila Robles','ser especial jajay ',1,0,0,0,1,0,0,1,0,0,0,0
positiva,socio-emocional,'Jose Benitez','jajajá ',0,0,0,0,0,0,0,1,0,0,0,0
negativa,tarea,'Jose Benitez','ir a ser todo el trabajo igual ... todo resolver de el sikh ',1,0,3,2,3,1,0,0,2,1,0,0
positiva,socio-emocional,'Jose Benitez','? ? ',0,0,0,0,0,0,0,0,0,2,0,0
positiva,tarea,'Camila Robles','por ese ! ',0,0,0,0,0,1,0,0,1,1,0,0
positiva,tarea,'Camila Robles','ir a tratar de conseguir algo y sino ya ser ',0,1,0,0,4,1,2,0,2,0,0,0
positiva,socio-emocional,'Mirko Hrubik','da le ',0,0,0,0,1,1,0,0,0,0,0,0
positiva,tarea,'Mirko Hrubik','mañana a el tarde lo hacer ',0,1,1,1,1,1,0,0,1,0,0,0
positiva,socio-emocional,'Camila Robles','a le , me ir a seguir estudiar uno rato . ',0,0,1,1,4,2,0,0,1,2,0,0
positiva,socio-emocional,'Camila Robles','hablar mañana ! saludos ',0,1,0,1,1,0,0,0,0,1,0,0
positiva,socio-emocional,'Camila Robles','ca ? ',0,0,0,1,0,0,0,0,0,1,0,0
positiva,tarea,'Mirko Hrubik','para mi era acá ',1,0,1,1,0,0,0,0,1,0,0,0
positiva,socio-emocional,'Mirko Hrubik','bueno no importar ',0,1,0,0,1,0,0,1,0,0,0,0
positiva,socio-emocional,'Mirko Hrubik','? ? ',0,0,0,0,0,0,0,0,0,2,0,0
positiva,tarea,'Mirko Hrubik','usar el de el dock ',0,0,2,1,1,0,0,0,1,0,0,0
positiva,tarea,'Jose Benitez','esta en el 2 lado asid deber ser el mismo ser mas facial por el otro así no haber q cambiar de pestaña ',2,1,4,4,6,1,1,0,3,0,1,0
positiva,socio-emocional,'Mirko Hrubik','siso   ',0,0,0,1,0,0,0,0,0,1,0,0
positiva,socio-emocional,'Camila Robles','jajay si ',0,0,0,0,0,0,1,1,0,0,0,0
negativa,tarea,'Camila Robles','pasar que este se guardar , no se a el final en que quedar ',0,1,1,1,3,4,1,0,2,1,0,0
positiva,tarea,'Camila Robles','de el catedral ',0,0,1,1,0,0,0,0,1,0,0,0
positiva,socio-emocional,'Mirko Hrubik','acá . ',0,0,0,1,0,0,0,0,0,1,0,0
positiva,socio-emocional,'Camila Robles','acatar ',0,0,0,0,1,0,0,0,0,0,0,0
positiva,socio-emocional,'Jose Benitez','estar todo a ? ? ',0,0,1,1,1,0,0,0,0,2,0,0
positiva,socio-emocional,'Mirko Hrubik','así ser ',0,0,0,1,1,0,0,0,0,0,0,0
positiva,socio-emocional,'Camila Robles','supuesta_mente ',0,1,0,0,0,0,0,0,0,0,0,0
negativa,tarea,'Mirko Hrubik','igual ya lo terminar casi arique ser ',0,4,0,0,2,1,0,0,0,0,0,0
positiva,socio-emocional,'Jose Benitez','se ',0,0,0,0,0,1,0,0,0,0,0,0
positiva,socio-emocional,'Camila Robles','si mal ',0,1,0,0,0,0,1,0,0,0,0,0
positiva,socio-emocional,'Camila Robles','ya este ',0,1,1,0,0,0,0,0,0,0,0,0
positiva,socio-emocional,'Jose Benitez','jajajá seguir por a mejor ',1,0,0,1,1,0,0,1,1,0,0,0
positiva,tarea,'Camila Robles','tendríamos que mandar el registro de el otro ? ? ? ',0,0,2,1,2,1,1,0,1,3,0,0
positiva,socio-emocional,'Mirko Hrubik','    laura_borgato ',0,0,0,1,0,0,0,0,0,2,0,0
positiva,tarea,'Mirko Hrubik','17:44 ',0,0,0,0,0,0,0,0,0,0,1,0
positiva,tarea,'Mirko Hrubik','o el entorno capaz que quedar mejor ',1,1,1,1,1,1,1,0,0,0,0,0
positiva,socio-emocional,'Mirko Hrubik','yo ',0,0,0,0,0,1,0,0,0,0,0,0
positiva,tarea,'Mirko Hrubik','17:47 ',0,0,0,0,0,0,0,0,0,0,1,0
positiva,tarea,'Mirko Hrubik','ah tratar de poner algo así en castellano ',0,1,0,2,2,1,0,0,2,0,0,0
positiva,tarea,'Mirko Hrubik','en el punto 1 ',0,0,1,1,0,0,0,0,1,0,1,0
positiva,tarea,'Mirko Hrubik','ah agrega algo a el punto 1 ',0,1,1,1,1,1,0,0,1,0,1,0
positiva,tarea,'Mirko Hrubik','fijen se si le parecer bien ',0,1,0,0,2,2,1,0,0,0,0,0
positiva,socio-emocional,'Mirko Hrubik','laura_borgato ',0,0,0,1,0,0,0,0,0,0,0,0
positiva,tarea,'Mirko Hrubik','17:48 ',0,0,0,0,0,0,0,0,0,0,1,0
positiva,tarea,'Mirko Hrubik','si , para mi este bien ',0,0,2,1,0,0,1,0,1,1,0,0
positiva,socio-emocional,'Mirko Hrubik','lucas_obyszuk ',0,0,0,1,0,0,0,0,0,0,0,0
positiva,tarea,'Mirko Hrubik','17:48 ',0,0,0,0,0,0,0,0,0,0,1,0
positiva,tarea,'Mirko Hrubik','me andar como el out este chata , alguien ver el que escribir ? ya refrescar el paginar ',0,1,4,2,5,3,1,0,0,2,0,0
positiva,socio-emocional,'Mirko Hrubik','mamila_dobles ',0,0,0,1,0,0,0,0,0,0,0,0
positiva,tarea,'Mirko Hrubik','17:48 ',0,0,0,0,0,0,0,0,0,0,1,0
positiva,tarea,'Mirko Hrubik','el que escribir por acá o en el dock ? ',0,0,2,3,0,1,1,0,2,1,0,0
positiva,socio-emocional,'Mirko Hrubik','yo ',0,0,0,0,0,1,0,0,0,0,0,0
positiva,tarea,'Mirko Hrubik','17:48 ',0,0,0,0,0,0,0,0,0,0,1,0
positiva,socio-emocional,'Mirko Hrubik','no no se ver todavía ',1,2,0,0,1,1,0,0,0,0,0,0
positiva,socio-emocional,'Mirko Hrubik','lucas_obyszuk ',0,0,0,1,0,0,0,0,0,0,0,0
positiva,tarea,'Mirko Hrubik','17:48 ',0,0,0,0,0,0,0,0,0,0,1,0
positiva,socio-emocional,'Mirko Hrubik','jajajá ',0,0,0,0,0,0,0,1,0,0,0,0
positiva,socio-emocional,'Mirko Hrubik','yo ',0,0,0,0,0,1,0,0,0,0,0,0
positiva,tarea,'Mirko Hrubik','17:48 ',0,0,0,0,0,0,0,0,0,0,1,0
positiva,tarea,'Mirko Hrubik','acá en el chata ',0,0,1,1,1,0,0,0,1,0,0,0
positiva,socio-emocional,'Mirko Hrubik','lucas_obyszuk ',0,0,0,1,0,0,0,0,0,0,0,0
positiva,tarea,'Mirko Hrubik','17:51 ',0,0,0,0,0,0,0,0,0,0,1,0
