@relation chat

@attribute class_conducta {1,2,3,4,5,6,7,8,9,10,11,12}
@attribute class_reaccion {positiva,negativa,pregunta,respuesta}
@attribute class_area {socio-emocional,tarea}
@attribute nombre string
@attribute mensaje string
@attribute adjectives numeric
@attribute adverbs numeric
@attribute determinants numeric
@attribute names numeric
@attribute verbs numeric
@attribute pronouns numeric
@attribute conjuctions numeric
@attribute interjections numeric
@attribute prepositions numeric
@attribute punctuation numeric
@attribute numerals numeric
@attribute dates_times numeric

@data
?,positiva,socio-emocional,'Emmanuel Zamora','c_o_p_y_paste jajay ',0,0,0,1,0,0,0,1,0,0,0,0
?,positiva,socio-emocional,'Martin Lopez','ajajá ',0,0,0,0,0,0,0,1,0,0,0,0
?,positiva,socio-emocional,'Emmanuel Zamora','? ? ',0,0,0,0,0,0,0,0,0,2,0,0
?,positiva,socio-emocional,'Martin Lopez','posta ',0,0,0,1,0,0,0,0,0,0,0,0
?,positiva,socio-emocional,'Braian Varona','hola chico ! ',0,0,0,1,0,0,0,1,0,1,0,0
?,positiva,socio-emocional,'Emmanuel Zamora','hola ',0,0,0,0,0,0,0,1,0,0,0,0
?,negativa,socio-emocional,'Braian Varona','si tal_cual , yo también tener problema con internet jajay   ',0,1,0,2,2,1,1,1,1,2,0,0
?,positiva,socio-emocional,'Braian Varona','? ? ',0,0,0,0,0,0,0,0,0,2,0,0
?,positiva,socio-emocional,'Martin Lopez','joya ',0,0,0,1,0,0,0,0,0,0,0,0
?,positiva,socio-emocional,'Martin Lopez','si tal_cual ',0,1,0,0,0,0,1,0,0,0,0,0
?,positiva,socio-emocional,'Emmanuel Zamora','mañana tipo este hora ? ',0,1,1,2,0,0,0,0,0,1,0,0
?,positiva,socio-emocional,'Martin Lopez','joya ',0,0,0,1,0,0,0,0,0,0,0,0
?,positiva,socio-emocional,'Diego Said Bechir','hola ',0,1,0,0,0,0,0,0,0,0,0,0
?,positiva,socio-emocional,'Diego Said Bechir','tipo 12 volver ',0,0,0,1,1,0,0,0,0,0,1,0
?,positiva,socio-emocional,'Emmanuel Zamora','bueno a el tarde temprano ? tipo 2 ',1,0,1,2,0,0,0,1,1,1,1,0
?,positiva,socio-emocional,'Emmanuel Zamora','? ',0,0,0,0,0,0,0,0,0,1,0,0
?,positiva,socio-emocional,'Diego Said Bechir','si buen_is_i_m_o ',0,1,0,0,0,0,1,0,0,0,0,0
?,positiva,socio-emocional,'Braian Varona','da le , faltaría confirmar nadie y listo ',2,0,0,1,2,1,1,0,0,1,0,0
?,positiva,socio-emocional,'Nadia Mayor','yo mañana poder a el mana , a el LN_mi:14 amigo dar el ultimar final y le ir a ir a tirar algo ',1,1,3,2,6,3,1,0,4,1,1,0
?,positiva,socio-emocional,'Nadia Mayor','no decir ',0,1,0,0,1,0,0,0,0,0,0,0
?,positiva,socio-emocional,'Martin Lopez','el [S:13/??/??:??.??:??] ',0,0,1,0,0,0,0,0,0,0,0,1
?,positiva,socio-emocional,'Nadia Mayor','bueno ',0,0,0,0,0,0,0,1,0,0,0,0
?,positiva,socio-emocional,'Martin Lopez','joya ',0,0,0,1,0,0,0,0,0,0,0,0
?,positiva,socio-emocional,'Emmanuel Zamora','buen_is_i_m_o ',0,1,0,0,0,0,0,0,0,0,0,0
?,positiva,socio-emocional,'Braian Varona','hola gente , bueno dial ! ',1,0,0,2,0,0,0,1,0,2,0,0
?,positiva,socio-emocional,'Diego Said Bechir','bueno ',1,0,0,0,0,0,0,0,0,0,0,0
?,positiva,socio-emocional,'Braian Varona','hola ',0,1,0,0,0,0,0,0,0,0,0,0
?,positiva,socio-emocional,'Diego Said Bechir','ser 2 nomás ? jajajá ',1,0,0,0,1,0,0,1,0,1,1,0
?,positiva,socio-emocional,'Braian Varona','jajajá por ahora si ',0,1,0,0,0,0,1,1,1,0,0,0
