@relation chat

@attribute class_conducta {1,2,3,4,5,6,7,8,9,10,11,12}
@attribute class_reaccion {positiva,negativa,pregunta,respuesta}
@attribute class_area {socio-emocional,tarea}
@attribute nombre string
@attribute mensaje string
@attribute adjectives numeric
@attribute adverbs numeric
@attribute determinants numeric
@attribute names numeric
@attribute verbs numeric
@attribute pronouns numeric
@attribute conjuctions numeric
@attribute interjections numeric
@attribute prepositions numeric
@attribute punctuation numeric
@attribute numerals numeric
@attribute dates_times numeric

@data
2,positiva,socio-emocional,'Isas Saba','asas jajay ',0,0,0,1,0,0,0,1,0,0,0,0
2,positiva,socio-emocional,'','jajay joya ',0,0,0,1,0,0,0,1,0,0,0,0
1,positiva,socio-emocional,'valeria lucchesi','ibais ',0,0,0,1,0,0,0,0,0,0,0,0
2,positiva,socio-emocional,'valeria lucchesi','jajajá ',0,0,0,0,0,0,0,1,0,0,0,0
3,positiva,tarea,'Isas Saba','en que esta ? ',0,0,0,0,1,0,1,0,1,1,0,0
1,positiva,tarea,'valeria lucchesi','en el 3.a ',0,0,1,0,0,0,0,0,1,0,1,0
1,positiva,socio-emocional,'Juan Ignacio Ilero','hola isbas ',0,1,0,0,0,0,0,1,0,0,0,0
3,negativa,tarea,'Juan Ignacio Ilero','che entonces creer que si haber que poner el que decir brial de que el plan inicial ser mantener carta y estar lejos_de cauros ',1,1,2,2,9,1,5,1,2,0,0,0
3,positiva,tarea,'Juan Ignacio Ilero','que ese ser en el etapa anterior a empezar a jugar ',1,0,1,1,3,1,1,0,3,0,0,0
1,positiva,tarea,'Juan Ignacio Ilero','y des mientras jugábamos cambio el plan y ser mantener carta y recular ',0,0,1,4,4,0,4,0,0,0,0,0
3,positiva,tarea,'Juan Ignacio Ilero','bueno en realidad ser el mismo ',1,0,1,1,1,0,0,1,1,0,0,0
1,positiva,tarea,'Juan Ignacio Ilero','dejar sin efecto mi ultimar 6 linear ',0,0,1,1,3,0,0,0,1,0,1,0
2,positiva,socio-emocional,'Juan Ignacio Ilero','jajajá ',0,0,0,0,0,0,0,1,0,0,0,0
3,positiva,tarea,'valeria lucchesi','callo para mi ser el mismo ',1,0,2,1,1,0,0,0,1,0,0,0
2,positiva,socio-emocional,'valeria lucchesi','jauja ',0,0,0,0,0,0,0,1,0,0,0,0
3,positiva,socio-emocional,'valeria lucchesi','no ',0,1,0,0,0,0,0,0,0,0,0,0
1,negativa,socio-emocional,'valeria lucchesi','ahora ya el leu ',0,2,1,1,0,0,0,0,0,0,0,0
2,positiva,socio-emocional,'valeria lucchesi','jajajá ',0,0,0,0,0,0,0,1,0,0,0,0
2,positiva,socio-emocional,'Juan Ignacio Ilero','jajajá ',0,0,0,0,0,0,0,1,0,0,0,0
2,positiva,socio-emocional,'','jajay ',0,0,0,0,0,0,0,1,0,0,0,0
2,positiva,socio-emocional,'Brian Lopez','j_aja_ja_ja y durante el juego ',0,0,1,1,0,0,1,1,1,0,0,0
1,positiva,tarea,'Brian Lopez','el que nos pasar ',0,0,1,0,1,2,0,0,0,0,0,0
3,positiva,tarea,'Brian Lopez','ser que perder uno jugador ',0,0,1,1,2,0,1,0,0,0,0,0
3,negativa,tarea,'Brian Lopez','y ya contábamos con menos carta ',0,2,0,1,1,0,1,0,1,0,0,0
1,positiva,tarea,'','posta , culpa de el conectividad ( ? ) ',0,0,1,3,0,0,0,0,1,4,0,0
2,positiva,socio-emocional,'Brian Lopez','j_aja_ja_ja ',0,0,0,0,0,0,0,1,0,0,0,0
2,positiva,socio-emocional,'valeria lucchesi','jajajá ',0,0,0,0,0,0,0,1,0,0,0,0
1,positiva,socio-emocional,'valeria lucchesi','igual posta ese ',0,1,0,1,0,1,0,0,0,0,0,0
2,positiva,socio-emocional,'Juan Ignacio Ilero','clareos jajajá ',0,1,0,0,0,0,0,1,0,0,0,0
1,positiva,socio-emocional,'Brian Lopez','nos boicotear internet ',0,0,0,1,1,1,0,0,0,0,0,0
3,positiva,tarea,'Juan Ignacio Ilero','se comentar que ser cauros ',0,0,0,0,3,1,1,0,0,0,0,0
