@relation 'chat-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C2-L2,3,4'

@attribute class_conducta {1,2,3,4,5,6,7,8,9,10,11,12}
@attribute class_reaccion {positiva,negativa,pregunta,respuesta}
@attribute class_area {socio-emocional,tarea}
@attribute nombre string
@attribute mensaje string
@attribute adjectives numeric
@attribute adverbs numeric
@attribute determinants numeric
@attribute names numeric
@attribute verbs numeric
@attribute pronouns numeric
@attribute conjuctions numeric
@attribute interjections numeric
@attribute prepositions numeric
@attribute punctuation numeric
@attribute numerals numeric
@attribute dates_times numeric

@data
1,positiva,socio-emocional,'','buenas ',0,0,0,1,0,0,0,0,0,0,0,0
1,positiva,socio-emocional,'','jajajá ',0,0,0,0,0,0,0,1,0,0,0,0
1,positiva,socio-emocional,'','resto ',0,0,0,1,0,0,0,0,0,0,0,0
1,positiva,socio-emocional,'','quenas ',0,0,0,1,0,0,0,0,0,0,0,0
1,positiva,socio-emocional,'','caracterìsticas_de_el_usuario ',0,0,0,1,0,0,0,0,0,0,0,0
1,positiva,socio-emocional,'','caracterìsticas_de_el_usuario ',0,0,0,1,0,0,0,0,0,0,0,0
1,positiva,socio-emocional,'','http://gredos.usal.es/jspui/bitstream/10366/21750/1/DPTOIA-IT-2003-001.pdf ',0,0,0,0,0,0,0,0,0,0,1,0
1,positiva,socio-emocional,'Tomas Perez Cambet','? ',0,0,0,0,0,0,0,0,0,1,0,0
1,positiva,socio-emocional,'','? ? ',0,0,0,0,0,0,0,0,0,2,0,0
1,positiva,socio-emocional,'Juan Francisco Ferreira','? ? ',0,0,0,0,0,0,0,0,0,2,0,0
1,positiva,socio-emocional,'','balee ',0,0,0,1,0,0,0,0,0,0,0,0
1,positiva,socio-emocional,'','? ? ',0,0,0,0,0,0,0,0,0,2,0,0
1,positiva,socio-emocional,'','http://www.actiweb.es/ipgcrp/pagina4.html ',0,0,0,0,0,0,0,0,0,0,1,0
1,positiva,socio-emocional,'','fiel ',0,0,0,1,0,0,0,0,0,0,0,0
1,positiva,socio-emocional,'','bien ',0,1,0,0,0,0,0,0,0,0,0,0
1,positiva,socio-emocional,'','? ? ',0,0,0,0,0,0,0,0,0,2,0,0
1,positiva,socio-emocional,'Tomas Perez Cambet','ah ',0,0,0,0,0,0,0,1,0,0,0,0
1,positiva,socio-emocional,'Tomas Perez Cambet','? ? ',0,0,0,0,0,0,0,0,0,2,0,0
1,positiva,socio-emocional,'Tomas Perez Cambet','? ? ',0,0,0,0,0,0,0,0,0,2,0,0
1,positiva,socio-emocional,'','http://www.lacapital.com.ar/contenidos/2015/06/24/noticia_0023.html ',0,0,0,0,0,0,0,0,0,0,1,0
1,positiva,socio-emocional,'Juan Francisco Ferreira','ídem ',0,1,0,0,0,0,0,0,0,0,0,0
1,positiva,socio-emocional,'Tomas Perez Cambet','shií ja_j_aja_a_j ',0,0,0,1,0,0,0,1,0,0,0,0
1,positiva,socio-emocional,'Juan Francisco Ferreira','c_la_a_a_aro ',0,0,0,0,0,0,0,1,0,0,0,0
1,positiva,socio-emocional,'','https://technet.microsoft.com/es-ar/library/ee662538.aspx ',0,0,0,0,0,0,0,0,0,0,1,0
1,positiva,socio-emocional,'','\" ',0,0,0,0,0,0,0,0,0,1,0,0
1,positiva,socio-emocional,'Tomas Perez Cambet','jajajá ',0,0,0,0,0,0,0,1,0,0,0,0
1,positiva,socio-emocional,'','tisis ',0,0,0,1,0,0,0,0,0,0,0,0
1,positiva,socio-emocional,'Juan Francisco Ferreira','joya ',0,0,0,1,0,0,0,0,0,0,0,0
1,positiva,socio-emocional,'','jajajá ',0,0,0,0,0,0,0,1,0,0,0,0
1,positiva,socio-emocional,'Tomas Perez Cambet','j_aja_ja_ja ',0,0,0,0,0,0,0,1,0,0,0,0
1,positiva,socio-emocional,'','exacto ',0,0,0,0,0,0,0,1,0,0,0,0
1,positiva,socio-emocional,'Tomas Perez Cambet','? ? ',0,0,0,0,0,0,0,0,0,2,0,0
1,positiva,socio-emocional,'Tomas Perez Cambet','ja_ja_ja_ja_ja ',0,0,0,0,0,0,0,1,0,0,0,0
1,positiva,socio-emocional,'Tomas Perez Cambet','? ? ',0,0,0,0,0,0,0,0,0,2,0,0
1,positiva,socio-emocional,'Tomas Perez Cambet','j_aja_ja_j_j_aja_ja ',0,0,0,0,0,0,0,1,0,0,0,0
1,positiva,socio-emocional,'','\" ',0,0,0,0,0,0,0,0,0,1,0,0
1,positiva,socio-emocional,'','jajajá ',0,0,0,0,0,0,0,1,0,0,0,0
1,positiva,socio-emocional,'Tomas Perez Cambet','? ? ',0,0,0,0,0,0,0,0,0,2,0,0
1,positiva,socio-emocional,'','? ? ',0,0,0,0,0,0,0,0,0,2,0,0
1,positiva,socio-emocional,'','sien ',0,0,0,1,0,0,0,0,0,0,0,0
1,positiva,socio-emocional,'','faja ',0,0,0,0,0,0,0,1,0,0,0,0
1,positiva,socio-emocional,'Tomas Perez Cambet','.url. ',0,0,0,0,0,0,0,0,0,1,0,0
1,positiva,socio-emocional,'','? ? ',0,0,0,0,0,0,0,0,0,2,0,0
1,positiva,socio-emocional,'','joya ',0,0,0,1,0,0,0,0,0,0,0,0
1,positiva,socio-emocional,'Juan Francisco Ferreira','quedo joya ',0,0,0,1,0,0,0,1,0,0,0,0
1,positiva,socio-emocional,'','el ',0,0,1,0,0,0,0,0,0,0,0,0
1,positiva,socio-emocional,'','( ',0,0,0,0,0,0,0,0,0,1,0,0
1,positiva,socio-emocional,'','ny ',0,0,0,1,0,0,0,0,0,0,0,0
1,positiva,socio-emocional,'Tomas Perez Cambet','? ? ',0,0,0,0,0,0,0,0,0,2,0,0
1,positiva,socio-emocional,'','.url. ',0,0,0,0,0,0,0,0,0,1,0,0
1,positiva,socio-emocional,'','  ',0,0,0,0,0,0,0,0,0,1,0,0
1,positiva,socio-emocional,'Tomas Perez Cambet','? ? ',0,0,0,0,0,0,0,0,0,2,0,0
1,positiva,socio-emocional,'Tomas Perez Cambet','? ? ',0,0,0,0,0,0,0,0,0,2,0,0
1,positiva,socio-emocional,'','jajay ',0,0,0,0,0,0,0,1,0,0,0,0
1,positiva,socio-emocional,'Tomas Perez Cambet','jajajá posta ',0,0,0,1,0,0,0,1,0,0,0,0
1,positiva,socio-emocional,'','jajay tal_cual ',0,1,0,0,0,0,0,1,0,0,0,0
1,positiva,socio-emocional,'','? ? ',0,0,0,0,0,0,0,0,0,2,0,0
1,positiva,socio-emocional,'Tomas Perez Cambet','  ',0,0,0,0,0,0,0,0,0,1,0,0
1,positiva,socio-emocional,'','? ? ',0,0,0,0,0,0,0,0,0,2,0,0
1,positiva,socio-emocional,'','  ',0,0,0,0,0,0,0,0,0,1,0,0
1,positiva,socio-emocional,'','http://jarroba.com/wp-content/uploads/2013/09/Clasificacion_Filtrado_colaborativo_Sistemas_de_recomendacion_jarroba.png ',0,0,0,0,0,0,0,0,0,0,1,0
1,positiva,socio-emocional,'Tomas Perez Cambet','? ? ',0,0,0,0,0,0,0,0,0,2,0,0
1,positiva,socio-emocional,'Tomas Perez Cambet','? ? ',0,0,0,0,0,0,0,0,0,2,0,0
1,positiva,socio-emocional,'Tomas Perez Cambet','? ? ',0,0,0,0,0,0,0,0,0,2,0,0
1,positiva,socio-emocional,'','? ? ',0,0,0,0,0,0,0,0,0,2,0,0
1,positiva,socio-emocional,'','  ',0,0,0,0,0,0,0,0,0,1,0,0
1,positiva,socio-emocional,'','\" ',0,0,0,0,0,0,0,0,0,1,0,0
1,positiva,socio-emocional,'Tomas Perez Cambet','perfecto ',1,0,0,0,0,0,0,0,0,0,0,0
1,positiva,socio-emocional,'','? ? ',0,0,0,0,0,0,0,0,0,2,0,0
1,positiva,socio-emocional,'','enviados ',0,0,0,1,0,0,0,0,0,0,0,0
1,positiva,socio-emocional,'Juan Francisco Ferreira','buenas ',0,0,0,1,0,0,0,0,0,0,0,0
1,positiva,socio-emocional,'','jajay ',0,0,0,0,0,0,0,1,0,0,0,0
1,positiva,socio-emocional,'','http://xpasos.blogspot.com.ar/2011/05/prolog-media-aritmetica-de-una-lista.html ',0,0,0,0,0,0,0,0,0,0,1,0
1,positiva,socio-emocional,'Tomas Perez Cambet','? ? ',0,0,0,0,0,0,0,0,0,2,0,0
1,positiva,socio-emocional,'Tomas Perez Cambet','? ? ',0,0,0,0,0,0,0,0,0,2,0,0
1,positiva,socio-emocional,'','? ? ',0,0,0,0,0,0,0,0,0,2,0,0
1,positiva,socio-emocional,'Tomas Perez Cambet','? ? ',0,0,0,0,0,0,0,0,0,2,0,0
1,positiva,socio-emocional,'Tomas Perez Cambet','? ? ',0,0,0,0,0,0,0,0,0,2,0,0
1,positiva,socio-emocional,'Tomas Perez Cambet','? ? ',0,0,0,0,0,0,0,0,0,2,0,0
1,positiva,socio-emocional,'Tomas Perez Cambet','? ? ',0,0,0,0,0,0,0,0,0,2,0,0
1,positiva,socio-emocional,'Juan Francisco Ferreira','preguntar ',0,0,0,0,1,0,0,0,0,0,0,0
1,positiva,socio-emocional,'Juan Francisco Ferreira','ahí ',0,0,0,0,0,0,0,1,0,0,0,0
1,positiva,socio-emocional,'Tomas Perez Cambet','? ? ',0,0,0,0,0,0,0,0,0,2,0,0
