@relation chat-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C2-Llast

@attribute class_reaccion {positiva,negativa,pregunta,respuesta}
@attribute class_area {socio-emocional,tarea}
@attribute nombre string
@attribute mensaje string
@attribute adjectives numeric
@attribute adverbs numeric
@attribute determinants numeric
@attribute names numeric
@attribute verbs numeric
@attribute pronouns numeric
@attribute conjuctions numeric
@attribute interjections numeric
@attribute prepositions numeric
@attribute punctuation numeric
@attribute numerals numeric
@attribute dates_times numeric

@data
positiva,socio-emocional,'Martín Mineo','hola negro ! ! como este ? ? ? ',1,0,1,0,0,0,1,1,0,5,0,0
positiva,socio-emocional,'Federico Cardoso','todo bien ! ',0,1,0,0,0,1,0,0,0,1,0,0
positiva,socio-emocional,'Federico Cardoso','labrando ojoso ',0,0,0,0,1,0,0,1,0,0,0,0
positiva,socio-emocional,'Martín Mineo','todo bien ! ! ! ',0,1,0,0,0,1,0,0,0,3,0,0
positiva,socio-emocional,'Martín Mineo','tejen este bien ',0,1,0,0,0,1,0,1,0,0,0,0
positiva,socio-emocional,'Martín Mineo','anoche soñó que datamos uno curso junto ! ! ! jajajá ',1,1,1,1,2,0,1,1,0,3,0,0
positiva,socio-emocional,'Federico Cardoso','jodo ahora trabajo loo feriar ',1,1,0,1,1,0,0,1,0,0,0,0
positiva,socio-emocional,'Martín Mineo','y ser muy bueno : d ',1,1,0,1,1,0,1,0,0,1,0,0
positiva,socio-emocional,'Federico Cardoso','no_o_o_o_o_o ! ! ! ! posta ? mojono ! cual de todo loo curso ? ',1,1,1,2,0,1,0,1,1,7,0,0
positiva,socio-emocional,'Martín Mineo','jajay de el arte de vivir , no se cual ',0,1,1,1,1,2,0,1,2,1,0,0
positiva,socio-emocional,'Federico Cardoso','s_a_c_ca_a_a_a_d_do_o_o ! ! ! ! ! ! ! ! ',0,1,0,0,0,0,0,0,0,8,0,0
positiva,socio-emocional,'Martín Mineo','j_eje_e_j_je se_e_e_e_e_e ',0,0,0,0,1,0,0,1,0,0,0,0
positiva,socio-emocional,'Martín Mineo','jajajá ',0,0,0,0,0,0,0,1,0,0,0,0
positiva,socio-emocional,'Federico Cardoso','mojono ',0,0,0,0,0,0,0,1,0,0,0,0
positiva,socio-emocional,'Federico Cardoso','como te ir allí ? ',0,0,0,1,1,1,1,0,0,1,0,0
positiva,socio-emocional,'Martín Mineo','uno luce ! ! ! w_o_o_o_o_w_w_w ! ! machismo jajay ',0,1,1,2,0,0,0,1,0,5,0,0
positiva,socio-emocional,'Federico Cardoso','porque hincho ? ',0,0,0,1,0,0,1,0,0,1,0,0
positiva,socio-emocional,'Federico Cardoso','o extraño ? ',1,0,0,0,0,0,1,0,0,1,0,0
positiva,socio-emocional,'Federico Cardoso','gasto ? ',0,0,0,1,0,0,0,0,0,1,0,0
positiva,socio-emocional,'Federico Cardoso','ojoso ',0,0,0,0,0,0,0,1,0,0,0,0
positiva,socio-emocional,'Martín Mineo','y así ',0,0,0,1,0,0,1,0,0,0,0,0
positiva,socio-emocional,'Federico Cardoso','sha ? ',0,0,0,1,0,0,0,0,0,1,0,0
positiva,socio-emocional,'Federico Cardoso','este bueno ',1,0,1,0,0,0,0,0,0,0,0,0
positiva,socio-emocional,'Martín Mineo','jajajá ms_han_ti le decir ',0,0,0,1,1,1,0,1,0,0,0,0
positiva,socio-emocional,'Martín Mineo','si , lindo nombre ',1,0,0,1,0,0,1,0,0,1,0,0
positiva,socio-emocional,'Martín Mineo','j_j_aja_ja_ja_ja ',0,0,0,0,0,0,0,1,0,0,0,0
positiva,socio-emocional,'Martín Mineo','ese no me agarrar ',0,1,0,0,1,2,0,0,0,0,0,0
positiva,socio-emocional,'Federico Cardoso','ese pensase vos ... ',0,0,0,1,0,2,0,0,0,1,0,0
positiva,socio-emocional,'Federico Cardoso','y claro ',0,1,0,0,0,0,1,0,0,0,0,0
positiva,socio-emocional,'Martín Mineo','no ',0,1,0,0,0,0,0,0,0,0,0,0
positiva,socio-emocional,'Federico Cardoso','haya ser valiente ',1,0,0,1,1,0,0,0,0,0,0,0
positiva,socio-emocional,'Martín Mineo','jajajá sidi : d ',0,1,0,1,0,0,0,1,0,1,0,0
positiva,socio-emocional,'Federico Cardoso','raleen ',0,0,0,0,1,0,0,0,0,0,0,0
positiva,socio-emocional,'Martín Mineo','hola negro ! ',1,0,0,0,0,0,0,1,0,1,0,0
positiva,socio-emocional,'Martín Mineo','como este ? ',0,0,0,0,0,1,1,0,0,1,0,0
positiva,socio-emocional,'Federico Cardoso','el hinchió ',1,0,0,1,0,0,0,0,0,0,0,0
positiva,socio-emocional,'Federico Cardoso','todo piola ',0,0,1,1,0,0,0,0,0,0,0,0
positiva,socio-emocional,'Federico Cardoso','vos ? ',0,0,0,0,0,1,0,0,0,1,0,0
positiva,socio-emocional,'Martín Mineo','bien : ) ',0,1,0,0,0,0,0,0,0,2,0,0
positiva,socio-emocional,'Federico Cardoso','sesee ',0,0,0,0,1,0,0,0,0,0,0,0
positiva,socio-emocional,'Federico Cardoso','o algo así ',0,0,0,1,0,1,1,0,0,0,0,0
