@relation chat

@attribute Conducta {1,2,3,4,5,6,7,8,9,10,11,12}
@attribute nombre string
@attribute message string

@data
?,'Martin Bianco','buenas gente'
?,'Martin Bianco','ahi cree el chat con los mails a los que mando el documento para trabajar'
?,'Martin Bianco','si falta alguno agregenlo'
?,'Juan Francisco Ferreira','Buenas tardes!'
?,'Juan Francisco Ferreira',Joya!
?,'Noelia Fluxá',Hola!
?,'Noelia Fluxá','Soy Noelia, creo que no conozco a ninguno.'
?,'Noelia Fluxá','Cuándo les queda bien que nos conectemos para empezar.'
?,'Noelia Fluxá','Si es mañana sólo puedo a la noche, se me va a complicar en el día.'
?,'Noelia Fluxá','Hoy no tengo drama de horarios'
?,'Juan Francisco Ferreira','Hoy se me hace imposible'
?,'Juan Francisco Ferreira','Mañana tengo todo el dia'
?,'Noelia Fluxá','Cuándo hay que entregarlo?'
?,'Juan Francisco Ferreira','El domingo'
?,'Noelia Fluxá','Bueno, vemos cuando responda el resto'
?,'Juan Francisco Ferreira',Dale
?,'Martin Bianco','por mi cuando quieran'
?,'Martin Bianco','si es a la noche mejor'
?,'Matias Adrian Peñalba Paz','Hola Gente..'
?,'Matias Adrian Peñalba Paz','Yo mañana tambien solo podria a la noche'
?,'Martin Bianco','hoy a la noche hacemos algo del tp?'
?,'Martin Bianco','para ir avanzando'
?,'Matias Adrian Peñalba Paz','por mi si, no tengo drama'
?,'Noelia Fluxá','Sisi yo en una hora ya estoy libre'
?,'Martin Bianco','tipo 10 decia yo aprox'
?,'Martin Bianco','o desp de cenar'
?,'Matias Adrian Peñalba Paz','dale, mejor.. asi tengo tiempo de bañarme'
?,'Juan Francisco Ferreira',Dale
?,'Juan Francisco Ferreira','Me viene joya'
?,'Noelia Fluxá','Yo ya estoy chicos'
?,'Noelia Fluxá','ahora me pongo a leer algo de info'
?,'Martin Bianco','ya estoy gente'
?,'Noelia Fluxá','Sobre agente inteligente lo que destaqué fue esto'
?,'Noelia Fluxá','\"Un agente inteligente, es una entidad capaz de percibir su entorno, procesar tales percepciones y responder o actuar en el medio de manera correcta y tendiendo a maximizar un resultado esperado.'
