@relation chat

@attribute Conducta {1,2,3,4,5,6,7,8,9,10,11,12}
@attribute nombre string
@attribute message string

@data
?,'Juan Ignacio Martinez','Buenas, dejo creado el grupo, ya mandaron las consignas del segundo tp!'
?,'Ludmila Baliño','hola!'
?,'Ludmila Baliño','somos nosotros 3 ?'
?,'Ludmila Baliño','somos grupo 01 no 20 jaja'
?,'Juan Ignacio Martinez','Es que fijate que te fieron acceso al doc compartido'
?,'Juan Ignacio Martinez','Ahi aparecen nuestros mails y aparemntemente grupo 20 jaja'
?,'Ludmila Baliño','si! dice 01 '
?,'Juan Ignacio Martinez','Oh, no se que lei entonces! Jaja'
?,'Ludmila Baliño','no se si lo puedo modificar yo'
?,'Ludmila Baliño','ah si'
?,'Juan Ignacio Martinez','Listo jaja. No se que dira lucas, pero si quieren hacerlo hoy puedo a la noche, que viajo para mi ciudad, si no mañana a partir de la siesta!'
?,'Ludmila Baliño','yo prefiero mañana, porque tengo que dar recu de exploratoria. Asi que prefiero estudiar hoy y después del recu hacer el trabajo!'
?,'Juan Ignacio Martinez','Dale! Podemos hacerlo a las 5 si les parece como la ultima vez?'
?,'Juan Ignacio Martinez','Y exitos!!'
?,'Ludmila Baliño','gracias!! si dale'
?,'Juan Ignacio Martinez','Del juego te mandaron algo a vos Ludmila?'
?,'Ludmila Baliño','Nono, nada'
?,'Ludmila Baliño','A vos?'
?,'Juan Ignacio Martinez','No, por que mandaron el mail que les iban a dar otra oportunidad a los que no ganaron 2 veces, y no nos lo dieron aun jajaja'
?,'Ludmila Baliño','Claro, porque eso es a los grupos que le asignaron el juego, viste que habían explicado que no le habían asignado el juego a todos'
?,'Ludmila Baliño','Nosotros quedamos para la próxima tanda, jajaja.'
?,'Juan Ignacio Martinez','Esperemos entonces jajaja. Ya me tiraron u par de tips'
?,'Ludmila Baliño','Sii a mi también'
?,'lucas ezequiel boccanfuso','Bueno hagan públicos esos tips porque a mi no me dieron ninguno 😞. Vi un Gameplay de DOS HORAS y encima perdieron jajajaja'
?,'Juan Ignacio Martinez','Jajajaja cuando nos toque te los tiro!'
?,'Juan Ignacio Martinez','Buenas, quedamos en hoy a las 5 al final? Jaja'
?,'Ludmila Baliño','Si dale'
?,'Ludmila Baliño','Yo ya salí de rendir !'
?,'Juan Ignacio Martinez','Como te fue?'
?,'Ludmila Baliño','Creo que bien, salí más confiada que en el parcial jajaja'
?,'Juan Ignacio Martinez','Genial entonces! 😃'
?,'lucas ezequiel boccanfuso','Que bueno, nos hablamos a las  5'
?,'Ludmila Baliño','Hola chicos!!'
?,'Ludmila Baliño','cuando quieran empezan avisen! yo ya estoy '
?,'Ludmila Baliño',' '
?,'Ludmila Baliño','☺'
?,'lucas ezequiel boccanfuso','hols'
?,'Juan Ignacio Martinez','Hola!'
?,'Juan Ignacio Martinez','Recien cambie las consignas que mandaron que estaban mal'
?,'Ludmila Baliño','aah jaja justo iba a hacer eso'
?,'Ludmila Baliño','no se si alguno rindio, estan las notas del recu de lenguajes'
?,'Juan Ignacio Martinez','No, pero la chusmie por los chicos, felicitaciones!'
?,'Ludmila Baliño','graciasssss, estoy re feliz jajaja'
?,'Juan Ignacio Martinez','fue masacre'
?,'lucas ezequiel boccanfuso','felicitaciones'
?,'Ludmila Baliño','si, desaprobaron bastantess'
?,'Juan Ignacio Martinez','Ya me hice el mate, estoy para arrancar jaja'
?,'Ludmila Baliño','jajaja dale empecemoss'
?,'Ludmila Baliño','buscamos info cada uno del primer tema y debatimos, dale?'
?,'Ludmila Baliño','como hicimos en el tp anterior?'
?,'Juan Ignacio Martinez','Sii'
?,'lucas ezequiel boccanfuso','la verdad acabo de revivir de una siesta y me esta costando arrancar, pero arranquemos y no se enojen si digo alguna tonteria.'
?,'lucas ezequiel boccanfuso','si  hagamos igual'
?,'Ludmila Baliño','jajajaaj'
?,'Ludmila Baliño','está perfecto'
?,'lucas ezequiel boccanfuso','por ejemplo ahora mismo estoy buscando como loco un articulo que habia encontrado del tema en taringa'
?,'lucas ezequiel boccanfuso','como no lo encuentro estoy empezando a pensar que lo sonie'
?,'Ludmila Baliño','jajaja'
?,'Juan Ignacio Martinez','jajajajajajaa'
?,'Juan Ignacio Martinez','Bueno mas o menos lei de diferentes fuentes, que un KBS es un software que se encarga de resolver problemas. '
?,'Juan Ignacio Martinez','Que utiliza justamente una base de conocimientos'
?,'Ludmila Baliño','si justo eso iba a añadir'
?,'Ludmila Baliño','a partir de una knowledge base'
?,'lucas ezequiel boccanfuso','si, estoy viendo, no me quedo claro'
?,'lucas ezequiel boccanfuso','el primero es un subtipo del segundo?'
?,'lucas ezequiel boccanfuso','porque en algunos lados los vi como sinonimos en otros como que KBS es un expert system'
?,'lucas ezequiel boccanfuso','siempre atado a mis limitaciones con el ingles.. '
?,'Ludmila Baliño','si, eso iria en la parte dos de la pregunta , que apunta a las diferencias'
?,'Ludmila Baliño','yo por ahora solo llegue a leer lo de wikipedia'
?,'Ludmila Baliño','que lo trata como un subtipo'
?,'Ludmila Baliño','The difference is in the view taken to describe the system: "expert  system" refers to the type of task the system is trying to assist with –  to replace or aid a human expert in a complex task; "knowledge-based  system" refers to the architecture of the system – that it represents  knowledge explicitly (rather than as procedural code). While the  earliest knowledge-based systems were almost all expert systems, the  same tools and architectures can and have since been used for a whole  host of other types of systems – i.e., virtually all expert systems are  knowledge-based systems, but many knowledge-based systems are not expert  systems.'
?,'Ludmila Baliño','ahora te lo traduzco'
?,'lucas ezequiel boccanfuso','please '
?,'lucas ezequiel boccanfuso','jJAJAJaahaha'
?,'Juan Ignacio Martinez','jajajaja'
?,'Juan Ignacio Martinez','This journal focuses on '
?,'Juan Ignacio Martinez','systems'
?,'Juan Ignacio Martinez',' that use '
?,'Juan Ignacio Martinez','knowledge-based'
?,'Juan Ignacio Martinez',' (KB) techniques to support human decision-making, learning and action'
?,'Juan Ignacio Martinez','Basicamente son sistemas que usan tecnicas de Knowledge base para layudar a los humanos en la toma de decisiones y aprendizaje'
?,'Ludmila Baliño','La diferencia está en la visión que se ha tomado para describir el sistema: "sistema experto" se refiere al tipo de tarea que el sistema está intentando ayudar con - reemplazar o ayudar a un experto humano en una tarea compleja; "Sistema basado en el conocimiento" se refiere a la arquitectura del sistema - que representa el conocimiento explícitamente (más que como código de procedimiento). Si bien los primeros sistemas basados en el conocimiento eran prácticamente todos sistemas expertos, las mismas herramientas y arquitecturas pueden y han sido utilizadas desde entonces para toda una serie de otros tipos de sistemas, es decir, prácticamente todos los sistemas expertos son sistemas basados en el conocimiento, pero algunos sistemas basados en conocimiento no son sistemas expertos.'
?,'Ludmila Baliño','hace poco el traducto de google implemetó redes neuronales'
?,'Ludmila Baliño','asi que traduce las plabras por contexto, ahora que estamos en el tema, esta bueno hablar de eso jajaja'
?,'Juan Ignacio Martinez','👌'
?,'lucas ezequiel boccanfuso','a ver'
?,'lucas ezequiel boccanfuso','entonces los sistemas expertos son los KB que se usan como un experto para una tarea compleja?'
?,'lucas ezequiel boccanfuso','o no necesariamente tiene que ser Kb para ser un sistema experto'
?,'lucas ezequiel boccanfuso','?'
?,'Juan Ignacio Martinez','Creo que no tiene que ser necesariamente Kb'
?,'Juan Ignacio Martinez','kbs es un sistema experto, pero un sistema experto no es necesariamente un kbs, no?'
?,'Ludmila Baliño','claro'
?,'lucas ezequiel boccanfuso','bien'
?,'lucas ezequiel boccanfuso','la difinicion ya la dijimos?'
?,'lucas ezequiel boccanfuso','de KBS'
?,'Juan Ignacio Martinez','toy recopilando la info que tiramos paraa ver como formularla bien '
?,'lucas ezequiel boccanfuso','que les parece lo que dice aca'
?,'lucas ezequiel boccanfuso','http://mareli-computacion.blogspot.com.ar/2010/06/que-es-un-sistema-basado-en-el.html'
?,'lucas ezequiel boccanfuso','?'
?,'Ludmila Baliño','o sea, por lo que entendi los kbs estan diseñados para crear nuevo conocimiento a partir de un conocimiento existente, es decir, la base de conociemiento (en ingles knowledge base) y tiene dos subtipos: knowledge base y inference engine'
?,'Ludmila Baliño','knowledge base es mas orientado a reglas y hechos y el modelo de inferencia es mas orientado a logica'
?,'lucas ezequiel boccanfuso','eso esta bueno, muy bien resumido'
?,'Juan Ignacio Martinez','Eso de KB y inference engine son subtipos, o serial elementos que forman el KBS?'
?,'Ludmila Baliño','es un resumen con mis palabras de lo que lei'
?,'Ludmila Baliño','subtipos'
?,'Ludmila Baliño','te copio de donde lo lei'
?,'Ludmila Baliño','A knowledge based system has two types of sub-systems: a knowledge base and an inference engine. The knowledge base represents facts about the world, often in some form of subsumption ontology. The inference engine represents logical assertions and conditions about the world, usually represented via IF-THEN rules.'
?,'Ludmila Baliño','igual ahora que lo vuelvo a leer dice sub systems'
?,'Ludmila Baliño','no sub types'
?,'Ludmila Baliño','jaja'
