@relation 'chat-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C2-L1,2,4'

@attribute class_conducta {1,2,3,4,5,6,7,8,9,10,11,12}
@attribute class_reaccion {positiva,negativa,pregunta,respuesta}
@attribute class_area {socio-emocional,tarea}
@attribute nombre string
@attribute mensaje string
@attribute adjectives numeric
@attribute adverbs numeric
@attribute determinants numeric
@attribute names numeric
@attribute verbs numeric
@attribute pronouns numeric
@attribute conjuctions numeric
@attribute interjections numeric
@attribute prepositions numeric
@attribute punctuation numeric
@attribute numerals numeric
@attribute dates_times numeric

@data
6,pregunta,tarea,'Martín Mineo','terminar de ver as_h_ta_va_k_r_a ',0,1,0,0,2,0,0,0,1,0,0,0
5,pregunta,tarea,'Martín Mineo','me estar por ir ',0,0,0,0,2,1,0,0,1,0,0,0
6,pregunta,tarea,'Martín Mineo','y el copé se me quedar sin batería ',0,0,1,2,1,2,1,0,1,0,0,0
6,pregunta,tarea,'Mauricio Franco Posadas','le quitar uno ',0,0,0,0,1,2,0,0,0,0,0,0
4,pregunta,tarea,'Mauricio Franco Posadas','te lo mandar de nuevo y poner el que elegir ',1,0,1,0,3,3,1,0,1,0,0,0
6,pregunta,tarea,'Mauricio Franco Posadas','paseo_de_la_reforma_n. f 115 , biso 22 ',0,0,0,2,1,0,0,0,0,1,2,0
6,pregunta,tarea,'Mauricio Franco Posadas','méxico_d._f. 11000 , léxico ',0,0,0,2,0,0,0,0,0,1,1,0
6,pregunta,tarea,'Mauricio Franco Posadas','teléfono : +52 55-5342-8400 ',0,0,0,1,0,0,0,0,0,1,2,0
6,pregunta,tarea,'Mauricio Franco Posadas','fax : +52 55-5342-8401 ',0,0,0,1,0,0,0,0,0,1,2,0
4,pregunta,tarea,'Martín Mineo','uno pregunta , cuanto este salir el ye en chalo ? ',0,0,2,3,1,2,0,0,1,2,0,0
6,pregunta,tarea,'Mauricio Franco Posadas','art_ex_ce_l y ye 750 ',0,0,0,2,0,0,1,0,0,0,1,0
4,pregunta,tarea,'Martín Mineo','te contar ',0,0,0,0,1,1,0,0,0,0,0,0
6,pregunta,tarea,'Martín Mineo','... y hablar con el coordinador de jóvenes ',0,0,1,2,1,0,1,0,2,1,0,0
6,pregunta,tarea,'Mauricio Franco Posadas','a ',0,0,0,0,0,0,0,0,1,0,0,0
4,pregunta,tarea,'Martín Mineo','me podar ayudar con este ? ',0,0,0,0,2,2,0,0,1,1,0,0
5,pregunta,tarea,'Martín Mineo','mandando me el carpeta ',0,0,1,1,1,1,0,0,0,0,0,0
4,pregunta,tarea,'Mauricio Franco Posadas','ya te llegar te mandar el carpeta que poder que ocupar ',0,1,1,1,4,3,1,0,0,0,0,0
6,pregunta,tarea,'Martín Mineo','si , el estar bajar , gracias ! ',0,0,1,1,2,0,1,0,0,3,0,0
4,pregunta,tarea,'Mauricio Franco Posadas','allí te lo mandar ',0,0,0,1,1,2,0,0,0,0,0,0
6,pregunta,tarea,'Mauricio Franco Posadas','de nada champiñón ',0,0,0,1,0,1,0,0,1,0,0,0
6,pregunta,tarea,'Mauricio Franco Posadas','oír te prender para el yeso residencial ',1,0,1,1,2,1,0,0,1,0,0,0
4,pregunta,tarea,'Mauricio Franco Posadas','así lo dar con andel ',0,0,0,2,1,1,0,0,1,0,0,0
5,pregunta,tarea,'Mauricio Franco Posadas','y yo dar el ye ',0,0,1,1,1,1,1,0,0,0,0,0
5,pregunta,tarea,'Mauricio Franco Posadas','con ano si poder ',0,0,0,1,1,0,1,0,1,0,0,0
5,pregunta,tarea,'Martín Mineo','me parecer bien ! ! ! si ',0,1,0,0,1,1,1,0,0,3,0,0
6,pregunta,tarea,'Mauricio Franco Posadas','si en uno rato ir para allá ',0,1,1,1,1,0,1,0,2,0,0,0
6,pregunta,tarea,'Mauricio Franco Posadas','oír y lucrar saber donde este ? ',0,0,1,0,3,0,2,0,0,1,0,0
6,pregunta,tarea,'Mauricio Franco Posadas','hablar con sama para el de el uni ? ',1,0,2,1,1,0,0,0,3,1,0,0
4,pregunta,tarea,'Martín Mineo','pero no hablar con sama ',0,1,0,1,1,0,1,0,1,0,0,0
4,pregunta,tarea,'Martín Mineo','ahora lo llamar ',0,1,0,0,1,1,0,0,0,0,0,0
4,pregunta,tarea,'Mauricio Franco Posadas','le poder manda chato ',1,0,0,1,1,1,0,0,0,0,0,0
5,pregunta,tarea,'Martín Mineo','estar hablar con él ',0,0,0,0,2,1,0,0,1,0,0,0
6,pregunta,tarea,'Mauricio Franco Posadas','col saluda me la ',0,0,0,1,1,2,0,0,0,0,0,0
5,pregunta,tarea,'Martín Mineo','andar por ah ? ',0,0,0,1,1,0,0,0,1,1,0,0
6,pregunta,tarea,'Martín Mineo','alguno consejo de que decir le para concretar el cita ? ',0,1,1,2,2,1,1,0,2,1,0,0
5,pregunta,tarea,'Mauricio Franco Posadas','di le que el ama ',0,0,1,1,1,1,1,0,0,0,0,0
6,pregunta,tarea,'Mauricio Franco Posadas','así no se hacer para atrase ',0,1,0,2,1,1,0,0,1,0,0,0
6,pregunta,tarea,'Martín Mineo','estar hablar : ) ',0,0,0,0,2,0,0,0,0,2,0,0
5,pregunta,tarea,'Mauricio Franco Posadas','y el carpeta imprimir ',0,0,1,1,1,0,1,0,0,0,0,0
6,pregunta,tarea,'Martín Mineo','el de ye plus nuevo ? ',1,0,1,2,0,0,0,0,1,1,0,0
