@relation 'chat-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C2-L1,2,3'

@attribute class_conducta {1,2,3,4,5,6,7,8,9,10,11,12}
@attribute class_reaccion {positiva,negativa,pregunta,respuesta}
@attribute class_area {socio-emocional,tarea}
@attribute nombre string
@attribute mensaje string
@attribute adjectives numeric
@attribute adverbs numeric
@attribute determinants numeric
@attribute names numeric
@attribute verbs numeric
@attribute pronouns numeric
@attribute conjuctions numeric
@attribute interjections numeric
@attribute prepositions numeric
@attribute punctuation numeric
@attribute numerals numeric
@attribute dates_times numeric

@data
1,respuesta,tarea,108507056602875848366,'querida ver si estar y si podamos hacer han_g_out_s je ',0,0,0,3,3,0,3,1,0,0,0,0
3,respuesta,tarea,108507056602875848366,'yo creer q también voy leer ',0,0,0,0,4,1,1,0,0,0,0,0
3,respuesta,tarea,108507056602875848366,'saber uno monto , ser re interesante hablar con el ',1,0,2,2,3,0,0,0,1,1,0,0
1,respuesta,tarea,108507056602875848366,'el [J:??/??/??:??.??:??] hacer cena de todo el de el arte ',0,0,4,2,1,0,0,0,2,0,0,1
3,respuesta,tarea,108507056602875848366,'creer q en el d hermana ',0,0,1,2,1,0,1,0,1,0,0,0
1,respuesta,tarea,108507056602875848366,'y hernian consiguió el colegio donde eran su hijo para hacer el batanga en el invierno ',1,0,4,5,3,0,1,0,2,0,0,0
3,respuesta,tarea,108507056602875848366,'me preguntar por q jan no ser instructor transmitir muy bien el conocimiento ',1,4,1,1,3,2,0,0,1,0,0,0
3,respuesta,tarea,108507056602875848366,'hablábamos con ruge y me decir que si ser instructor serio de el estricto ',2,0,1,2,3,1,3,0,2,0,0,0
1,respuesta,tarea,108507056602875848366,'y vino con gana de que nos juntar todo y ser m subidos y quebrá q empecer a hacer mas cosa ',0,0,1,5,5,2,5,0,3,0,0,0
1,respuesta,tarea,'Martín Mineo','este muy bien , apoyen lo y ayuden lo en el que necesitar ',0,2,2,0,3,3,1,0,1,1,0,0
1,respuesta,tarea,108507056602875848366,'si ah capaz que ir alguno de el chico yo rendir el 25 así q no poder ',1,1,2,3,3,4,1,0,1,0,1,0
1,respuesta,tarea,'Martín Mineo','hernian tener mucho fuerza y empuje ',0,0,1,2,2,0,1,0,0,0,0,0
1,respuesta,tarea,108507056602875848366,'si por es hacer este cenar haber mucho gruñimos ',0,0,2,2,3,0,1,0,1,0,0,0
1,respuesta,tarea,108507056602875848366,'tener q hacer runo grande ',2,0,0,0,2,0,1,0,0,0,0,0
1,respuesta,tarea,'Martín Mineo','ir a hacer mejor cosa si ser uno grupo grande ',2,0,1,2,3,0,1,0,1,0,0,0
3,respuesta,tarea,108507056602875848366,'si el idea ser seguir juntando nos a cenar así nos conocer mas ',0,0,1,2,5,2,2,0,1,0,0,0
1,respuesta,tarea,108507056602875848366,'así que bien , me gustar empezar a ver video de nuevo ',1,1,0,2,3,2,0,0,2,1,0,0
1,respuesta,tarea,108507056602875848366,'cuanto mas confianza tener en el propio funcionamiento de el conciencia , mas relajar estar : \" mi regalo me llegar , con seguridad \" ',1,0,3,5,4,2,2,0,3,5,0,0
3,respuesta,tarea,108507056602875848366,'si te sentir en uno grupo aunque ser uno o 2 o 3 vez por semana y implemente te recordar : yo ser el conciencia , uno , 2 o 3 vez a el semana , ser conciencia , venga lo que venir nada poder tocar me . ',0,1,5,8,8,7,6,0,3,6,4,0
3,respuesta,tarea,108507056602875848366,'no ser este ni lo otro , ser el puro existencia . ',1,2,1,1,2,3,0,0,0,2,0,0
1,respuesta,tarea,108507056602875848366,'de este manera poder destruir cualquiera impureza y quitar todo el velo que nublar tu mente y no te permitir ser consciente . ',1,1,5,4,6,2,2,0,1,1,0,0
1,respuesta,tarea,108507056602875848366,'no tener idea cuanto riqueza poder obtener . ',0,1,0,2,3,1,0,0,0,1,0,0
1,respuesta,tarea,108507056602875848366,'marfil acá no tener micros me espera que prendar a el note_b_o_ok ',1,1,1,4,2,2,0,0,1,0,0,0
1,respuesta,tarea,108507056602875848366,'desde el lunel se estar juntar a estudiar con 2 compañero se venir avanzar uno monto ',1,0,2,4,5,0,0,0,3,0,1,0
3,respuesta,tarea,108507056602875848366,'lindá afame el de el bloc de burujo de ayer ',0,1,2,4,0,0,0,0,3,0,0,0
1,respuesta,tarea,'Martín Mineo','buen_is_i_m_o ! a estudiar en grupo que ser mas facial ',1,1,0,1,2,1,1,0,2,1,0,0
1,respuesta,tarea,'Martín Mineo','pero ir con jau , que ser uno genio con ese cosa ',0,0,2,3,2,1,1,0,2,1,0,0
1,respuesta,tarea,108507056602875848366,'así depones hacer uno manual de ye acético ',1,1,1,3,1,0,0,0,1,0,0,0
