@relation chat

@attribute class_conducta {1,2,3,4,5,6,7,8,9,10,11,12}
@attribute class_reaccion {positiva,negativa,pregunta,respuesta}
@attribute class_area {socio-emocional,tarea}
@attribute nombre string
@attribute mensaje string
@attribute adjectives numeric
@attribute adverbs numeric
@attribute determinants numeric
@attribute names numeric
@attribute verbs numeric
@attribute pronouns numeric
@attribute conjuctions numeric
@attribute interjections numeric
@attribute prepositions numeric
@attribute punctuation numeric
@attribute numerals numeric
@attribute dates_times numeric

@data
?,positiva,socio-emocional,'','bueno ',1,0,0,0,0,0,0,0,0,0,0,0
?,respuesta,tarea,'P E','chico , una_vez_que finalizar y entregar el TP3 antecede comenzar con el enunciado de el TP4 que se deber entregar el [X:??/??/??:??.??:??] , enviar por mal uno feedback de el trabajo 2 y 3 . ',0,0,6,5,6,2,3,0,5,3,4,1
?,positiva,socio-emocional,'P E','( ',0,0,0,0,0,0,0,0,0,1,0,0
?,pregunta,socio-emocional,'P E','https://docs.google.com/spreadsheets/d/1tJVfg3l7KxId-1CkYlmY4TTNN5fgrVIoNQV80gIXXjQ/edit ? uso = harina ',0,0,0,2,0,0,0,0,0,2,1,0
?,positiva,socio-emocional,'P E','  ',0,0,0,0,0,0,0,0,0,1,0,0
?,positiva,socio-emocional,'P E',') ',0,0,0,0,0,0,0,0,0,1,0,0
?,pregunta,socio-emocional,'P E','gracias , difundir ',0,0,0,2,0,0,0,0,0,1,0,0
?,pregunta,tarea,'','confirmar recepción de el mal ',0,0,1,2,1,0,0,0,1,0,0,0
?,pregunta,socio-emocional,'melisa millan','recibir ! ',0,0,0,0,1,0,0,0,0,1,0,0
?,positiva,socio-emocional,'','recibir ',0,0,0,0,1,0,0,0,0,0,0,0
?,positiva,socio-emocional,'','recibir ',0,0,0,0,1,0,0,0,0,0,0,0
?,positiva,socio-emocional,'Emmanuel Zamora','recibir ',0,0,0,0,1,0,0,0,0,0,0,0
?,respuesta,tarea,'','nos podrían decir hasta que hora de el [X:??/??/??:??.??:??] tener para entregar lo ? ',0,0,1,1,4,2,1,0,3,1,0,1
?,pregunta,tarea,'Emmanuel Zamora','chico cuando nos ir a poner con este ? ? ',0,0,0,1,2,2,1,0,2,2,0,0
?,respuesta,tarea,'','haber 2 persona que ni aparecer todavía ',0,1,0,2,2,1,0,0,0,0,1,0
?,respuesta,tarea,'','no ser mañana a el tarde que haber poner en el comentario ? ',0,2,2,2,3,1,0,0,2,1,0,0
?,pregunta,socio-emocional,'','siso por mi si ',0,0,1,1,0,0,1,0,1,0,0,0
?,pregunta,socio-emocional,'Emmanuel Zamora','ah entonces quedar ese horario ',0,1,1,1,1,0,0,1,0,0,0,0
