@relation chat

@attribute class_conducta {1,2,3,4,5,6,7,8,9,10,11,12}
@attribute class_reaccion {positiva,negativa,pregunta,respuesta}
@attribute class_area {socio-emocional,tarea}
@attribute nombre string
@attribute mensaje string
@attribute adjectives numeric
@attribute adverbs numeric
@attribute determinants numeric
@attribute names numeric
@attribute verbs numeric
@attribute pronouns numeric
@attribute conjuctions numeric
@attribute interjections numeric
@attribute prepositions numeric
@attribute punctuation numeric
@attribute numerals numeric
@attribute dates_times numeric

@data
?,positiva,socio-emocional,'Martín Mineo','holgaba ',0,1,0,0,0,0,0,0,0,0,0,0
?,positiva,socio-emocional,108507056602875848366,'hola ',0,0,0,0,0,0,0,1,0,0,0,0
?,positiva,socio-emocional,'Martín Mineo','ay , y si escribir mejor ? ? no tener gana de hablar jajajá ',0,2,0,1,3,0,2,2,1,3,0,0
?,positiva,socio-emocional,108507056602875848366,'jauja ',0,0,0,0,0,0,0,1,0,0,0,0
?,positiva,socio-emocional,108507056602875848366,'oponer jajay ',0,0,0,0,1,0,0,1,0,0,0,0
?,positiva,socio-emocional,'Martín Mineo',': ) ',0,0,0,0,0,0,0,0,0,2,0,0
?,positiva,socio-emocional,108507056602875848366,'marfil ',0,0,0,1,0,0,0,0,0,0,0,0
?,positiva,socio-emocional,108507056602875848366,'malo : p ',0,0,0,2,0,0,0,0,0,1,0,0
?,positiva,socio-emocional,108507056602875848366,'jajay ',0,0,0,0,0,0,0,1,0,0,0,0
?,positiva,socio-emocional,'Martín Mineo','jajajá bien ! ',0,1,0,0,0,0,0,1,0,1,0,0
?,positiva,socio-emocional,108507056602875848366,'ok ',1,0,0,0,0,0,0,0,0,0,0,0
?,positiva,socio-emocional,108507056602875848366,'nata comprar ',0,1,0,0,1,0,0,0,0,0,0,0
?,positiva,socio-emocional,108507056602875848366,'espacio y eternidad ',0,0,0,2,0,0,1,0,0,0,0,0
?,positiva,socio-emocional,'Martín Mineo','ah y que onda ? ',0,0,0,1,0,0,2,1,0,1,0,0
?,positiva,socio-emocional,'Martín Mineo','no el leu ',0,1,1,1,0,0,0,0,0,0,0,0
?,positiva,socio-emocional,108507056602875848366,'re lindo ',1,0,0,1,0,0,0,0,0,0,0,0
?,positiva,socio-emocional,108507056602875848366,'nos el recomendé jun. ',1,0,1,1,0,1,0,0,0,0,0,0
?,positiva,socio-emocional,108507056602875848366,'jan ',0,0,0,0,1,0,0,0,0,0,0,0
?,positiva,socio-emocional,'Martín Mineo','si , me contó ruge ',1,0,0,1,0,1,1,0,0,1,0,0
?,positiva,socio-emocional,'Martín Mineo','sirio , jan se leer todo y tener mucho memoria ',0,2,1,1,2,2,1,0,0,1,0,0
?,positiva,socio-emocional,'Martín Mineo','ah si , en constitución ',0,0,0,1,0,0,1,1,1,1,0,0
?,positiva,socio-emocional,108507056602875848366,'hernian ',0,0,0,0,1,0,0,0,0,0,0,0
?,positiva,socio-emocional,108507056602875848366,'si ',0,0,0,0,0,0,1,0,0,0,0,0
?,positiva,socio-emocional,108507056602875848366,': ) ',0,0,0,0,0,0,0,0,0,2,0,0
?,positiva,socio-emocional,'Martín Mineo','no querer ',0,1,0,0,1,0,0,0,0,0,0,0
?,positiva,socio-emocional,108507056602875848366,'jauja ',0,0,0,0,0,0,0,1,0,0,0,0
?,positiva,socio-emocional,'Martín Mineo','j_aja_ja_ja ',0,0,0,0,0,0,0,1,0,0,0,0
?,positiva,socio-emocional,'Martín Mineo',': ) ',0,0,0,0,0,0,0,0,0,2,0,0
?,positiva,socio-emocional,'Martín Mineo','si , ser cierto ',1,0,0,0,1,0,1,0,0,1,0,0
?,positiva,socio-emocional,108507056602875848366,'si saber mucho ',0,1,0,0,1,0,1,0,0,0,0,0
?,positiva,socio-emocional,'Martín Mineo','sirio , total_mente ',0,2,0,0,0,0,0,0,0,1,0,0
?,positiva,socio-emocional,'Martín Mineo','sidi , esta bueno el b_ha_k_ti ! ',1,1,1,1,1,0,0,0,0,2,0,0
?,positiva,socio-emocional,'Martín Mineo',': ) ',0,0,0,0,0,0,0,0,0,2,0,0
?,positiva,socio-emocional,108507056602875848366,'aceptar ',0,0,0,0,1,0,0,0,0,0,0,0
?,positiva,socio-emocional,'Martín Mineo','no me llegar nada .... ',0,1,0,0,1,2,0,0,0,1,0,0
?,positiva,socio-emocional,108507056602875848366,'hola marfil ! ',0,0,0,1,0,0,0,1,0,1,0,0
?,positiva,socio-emocional,'Martín Mineo','h_o_o_ola_a_a ',0,1,0,0,0,0,0,0,0,0,0,0
?,positiva,socio-emocional,108507056602875848366,': ) ',0,0,0,0,0,0,0,0,0,2,0,0
?,positiva,socio-emocional,108507056602875848366,'bien ',0,1,0,0,0,0,0,0,0,0,0,0
?,positiva,socio-emocional,108507056602875848366,'as que bastante ocupar ',0,1,0,1,1,1,0,0,0,0,0,0
?,positiva,socio-emocional,108507056602875848366,'el leste \' ',0,0,1,1,0,0,0,0,0,1,0,0
?,positiva,socio-emocional,108507056602875848366,'\' ',0,0,0,0,0,0,0,0,0,1,0,0
?,positiva,socio-emocional,108507056602875848366,'? ',0,0,0,0,0,0,0,0,0,1,0,0
?,positiva,socio-emocional,'Martín Mineo','amas si , lo ver ! ',0,0,0,0,1,1,1,1,0,2,0,0
?,positiva,socio-emocional,'Martín Mineo','este bueno el frase ',1,0,2,1,0,0,0,0,0,0,0,0
?,positiva,socio-emocional,108507056602875848366,'si si ',0,0,0,0,0,0,2,0,0,0,0,0
?,positiva,socio-emocional,108507056602875848366,'jajay ',0,0,0,0,0,0,0,1,0,0,0,0
?,positiva,socio-emocional,'Martín Mineo','yo contento , mañana empezar el acuatice y ir a ser mucho ! ! ',2,1,1,1,3,1,1,0,1,3,0,0
?,positiva,socio-emocional,108507056602875848366,': d ',0,0,0,1,0,0,0,0,0,1,0,0
?,positiva,socio-emocional,108507056602875848366,'que copada ',0,0,0,1,0,0,1,0,0,0,0,0
?,positiva,socio-emocional,108507056602875848366,'te preparar juego ',0,0,0,1,1,1,0,0,0,0,0,0
?,positiva,socio-emocional,108507056602875848366,'< ? ',0,0,0,0,0,0,0,0,0,2,0,0
?,positiva,socio-emocional,'Martín Mineo','jajay no preparar nada ! ',0,1,0,0,1,1,0,1,0,1,0,0
?,positiva,socio-emocional,108507056602875848366,'inventar juego nuevo ',1,0,0,1,1,0,0,0,0,0,0,0
