@relation chat

@attribute class_reaccion {positiva,negativa,pregunta,respuesta}
@attribute class_area {socio-emocional,tarea}
@attribute nombre string
@attribute mensaje string
@attribute adjectives numeric
@attribute adverbs numeric
@attribute determinants numeric
@attribute names numeric
@attribute verbs numeric
@attribute pronouns numeric
@attribute conjuctions numeric
@attribute interjections numeric
@attribute prepositions numeric
@attribute punctuation numeric
@attribute numerals numeric
@attribute dates_times numeric

@data
positiva,socio-emocional,'','bueno ',1,0,0,0,0,0,0,0,0,0,0,0
positiva,socio-emocional,'Mariano Pardo','hola ! ! ',0,0,0,0,0,0,0,1,0,2,0,0
positiva,socio-emocional,'Eddie Gil','buenas ',0,0,0,1,0,0,0,0,0,0,0,0
positiva,tarea,'','como andar ? ',0,0,0,0,1,0,1,0,0,1,0,0
positiva,socio-emocional,'','che zariano , cuando poder fija te en el dock el comentario que seamos arreglar para juntar nos a hacer lo : ) ',0,0,2,4,6,3,1,1,3,3,0,0
positiva,socio-emocional,'Eddie Gil','buenas ',0,0,0,1,0,0,0,0,0,0,0,0
positiva,tarea,'Eddie Gil','alguno por allí ? ',0,1,0,0,0,1,0,0,1,1,0,0
positiva,tarea,'Eddie Gil','tener gana de ir hacer algo de el TP5 ? ',0,0,1,1,3,1,0,0,2,1,1,0
positiva,tarea,'Eddie Gil','recién leer el comenta en el drive . ',0,0,2,3,1,0,0,0,1,1,0,0
positiva,tarea,'Eddie Gil','a el tarde ir hacer algo ! ',0,1,1,1,2,0,0,0,1,1,0,0
positiva,socio-emocional,'Eddie Gil','alune ! ',0,0,0,1,0,0,0,0,0,1,0,0
positiva,tarea,'','bueno a todo ',1,0,1,0,0,0,0,0,1,0,0,0
positiva,tarea,'','si querer ir charlar uno boquita ',0,0,1,0,3,1,1,0,0,0,0,0
positiva,tarea,'','por el q entendió , cuando nos \" retar \" ',0,0,1,0,2,2,1,0,1,3,0,0
positiva,tarea,'','ser porque colorativo ser , tipo desarmar el problema en parte y cada cual hacer uno parte ',1,0,3,4,4,1,2,0,1,1,0,0
negativa,tarea,'','pero no necesaria_mente se discutir entre todo ',0,2,1,0,1,1,1,0,1,0,0,0
positiva,socio-emocional,'','bueno ',1,0,0,0,0,0,0,0,0,0,0,0
positiva,tarea,'','o ese ser cooperativo ? = ',1,0,0,0,1,1,1,0,0,2,0,0
positiva,socio-emocional,'','hola ',0,1,0,0,0,0,0,0,0,0,0,0
positiva,socio-emocional,'','me bancal 15-20 y estar ? ',0,0,0,1,1,1,1,0,0,1,1,0
positiva,socio-emocional,'','sisés ',0,1,0,0,0,0,0,0,0,0,0,0
positiva,tarea,'','tener que ir a llevar uno cosa , para el 19 estar acá ',0,0,2,2,4,0,1,0,2,1,1,0
positiva,socio-emocional,'','? ? ',0,0,0,0,0,0,0,0,0,2,0,0
positiva,tarea,'','yo empecen a tirar idea nomás ',1,0,0,2,1,1,0,0,1,0,0,0
positiva,tarea,'','hacer tranquil ',0,0,0,0,2,0,0,0,0,0,0,0
positiva,socio-emocional,'','tener que ir a llevar uno bomba a el intia ( ? ) jajay ',0,0,2,2,3,0,1,1,2,3,0,0
positiva,socio-emocional,'','j_aja_ja_ja ',0,0,0,0,0,0,0,1,0,0,0,0
positiva,tarea,'','por ? ? ',0,0,0,0,0,0,0,0,1,2,0,0
positiva,tarea,'','( no se si alguno mas este querer prender fuego a el de base ) ',0,1,1,2,2,3,2,0,2,2,0,0
negativa,tarea,'','siempre se poder charlar , el violencia no resolver nada ',0,2,1,1,3,2,0,0,0,1,0,0
positiva,socio-emocional,'','jajajá ',0,0,0,0,0,0,0,1,0,0,0,0
positiva,socio-emocional,'','ahí ',0,0,0,0,0,0,0,1,0,0,0,0
positiva,socio-emocional,'','bueno , ah vengar ',0,1,0,0,1,0,0,1,0,1,0,0
positiva,socio-emocional,'','? ? ',0,0,0,0,0,0,0,0,0,2,0,0
positiva,tarea,'','bueno con lo de base poder hacer uno excepciona ',0,0,1,2,2,1,0,1,2,0,0,0
positiva,socio-emocional,'','bala y fuego nomás ',1,0,0,2,0,0,1,0,0,0,0,0
