@relation chat

@attribute class_reaccion {positiva,negativa,pregunta,respuesta}
@attribute class_area {socio-emocional,tarea}
@attribute nombre string
@attribute mensaje string
@attribute adjectives numeric
@attribute adverbs numeric
@attribute determinants numeric
@attribute names numeric
@attribute verbs numeric
@attribute pronouns numeric
@attribute conjuctions numeric
@attribute interjections numeric
@attribute prepositions numeric
@attribute punctuation numeric
@attribute numerals numeric
@attribute dates_times numeric

@data
positiva,socio-emocional,'Franco Berdun','. ',0,0,0,0,0,0,0,0,0,1,0,0
respuesta,tarea,'Franco Berdun','chico , una_vez_que finalizar y entregar el TP3 antecede comenzar con el enunciado de el TP4 que se deber entregar el [X:??/??/??:??.??:??] , enviar por mal uno feedback de el trabajo 2 y 3 . ',0,0,6,5,6,2,3,0,5,3,4,1
positiva,socio-emocional,'Franco Berdun','( ',0,0,0,0,0,0,0,0,0,1,0,0
pregunta,socio-emocional,'Franco Berdun','https://docs.google.com/spreadsheets/d/1tJVfg3l7KxId-1CkYlmY4TTNN5fgrVIoNQV80gIXXjQ/edit ? uso = harina ',0,0,0,2,0,0,0,0,0,2,1,0
positiva,socio-emocional,'Franco Berdun',') ',0,0,0,0,0,0,0,0,0,1,0,0
pregunta,socio-emocional,'Franco Berdun','gracias , difundir ',0,0,0,2,0,0,0,0,0,1,0,0
positiva,socio-emocional,'P E','frac ',0,0,0,1,0,0,0,0,0,0,0,0
positiva,socio-emocional,'P E','. ',0,0,0,0,0,0,0,0,0,1,0,0
positiva,socio-emocional,'P E','. ',0,0,0,0,0,0,0,0,0,1,0,0
positiva,socio-emocional,'P E','. ',0,0,0,0,0,0,0,0,0,1,0,0
positiva,socio-emocional,'P E','. ',0,0,0,0,0,0,0,0,0,1,0,0
positiva,socio-emocional,'P E','. ',0,0,0,0,0,0,0,0,0,1,0,0
positiva,socio-emocional,'P E','. ',0,0,0,0,0,0,0,0,0,1,0,0
positiva,socio-emocional,'P E','. ',0,0,0,0,0,0,0,0,0,1,0,0
positiva,socio-emocional,'P E','. ',0,0,0,0,0,0,0,0,0,1,0,0
positiva,socio-emocional,'P E','. . ',0,0,0,0,0,0,0,0,0,2,0,0
