@relation chat

@attribute class_area {socio-emocional,tarea}
@attribute nombre string
@attribute mensaje string
@attribute adjectives numeric
@attribute adverbs numeric
@attribute determinants numeric
@attribute names numeric
@attribute verbs numeric
@attribute pronouns numeric
@attribute conjuctions numeric
@attribute interjections numeric
@attribute prepositions numeric
@attribute punctuation numeric
@attribute numerals numeric
@attribute dates_times numeric

@data
?,'Martín Mineo','hola negro ! ! como este ? ? ? ',1,0,1,0,0,0,1,1,0,5,0,0
?,'Federico Cardoso','q hacer ti_n_cho_o_o ',0,0,0,0,2,0,1,0,0,0,0,0
?,'Federico Cardoso','todo bien ! ',0,1,0,0,0,1,0,0,0,1,0,0
?,'Federico Cardoso','labrando ojoso ',0,0,0,0,1,0,0,1,0,0,0,0
?,'Martín Mineo','todo bien ! ! ! ',0,1,0,0,0,1,0,0,0,3,0,0
?,'Martín Mineo','tejen este bien ',0,1,0,0,0,1,0,1,0,0,0,0
?,'Martín Mineo','anoche soñó que datamos uno curso junto ! ! ! jajajá ',1,1,1,1,2,0,1,1,0,3,0,0
?,'Federico Cardoso','jodo ahora trabajo loo feriar ',1,1,0,1,1,0,0,1,0,0,0,0
?,'Martín Mineo','y ser muy bueno : d ',1,1,0,1,1,0,1,0,0,1,0,0
?,'Federico Cardoso','no_o_o_o_o_o ! ! ! ! posta ? mojono ! cual de todo loo curso ? ',1,1,1,2,0,1,0,1,1,7,0,0
?,'Martín Mineo','jajay de el arte de vivir , no se cual ',0,1,1,1,1,2,0,1,2,1,0,0
?,'Martín Mineo','creer que el que ser para jóvenes , el ye plus ',0,0,2,3,2,1,1,0,1,1,0,0
?,'Federico Cardoso','s_a_c_ca_a_a_a_d_do_o_o ! ! ! ! ! ! ! ! ',0,1,0,0,0,0,0,0,0,8,0,0
?,'Martín Mineo','j_eje_e_j_je se_e_e_e_e_e ',0,0,0,0,1,0,0,1,0,0,0,0
?,'Federico Cardoso','celeste se cagado risa ! el tener sentada acá a el aldol ',2,0,2,4,1,1,0,0,1,1,0,0
?,'Martín Mineo','jajajá ',0,0,0,0,0,0,0,1,0,0,0,0
?,'Federico Cardoso','ayer tao venir y le decir q soñó con tiburón , por ese se rió ',0,1,0,4,3,2,2,0,2,1,0,0
?,'Martín Mineo','a_a_a_a_a_ah claro hoy ser feriar , que pasar que este trabajar ? ? ? ? ',0,2,0,0,4,2,1,1,0,5,0,0
?,'Federico Cardoso','platica extra para subproyecto q le faltar hora ',1,0,0,3,1,2,0,0,1,0,0,0
?,'Federico Cardoso','nos pagar uno luce por feriar ',0,0,1,1,2,1,0,0,1,0,0,0
?,'Federico Cardoso','vengar todos el feriar ',0,0,1,1,2,0,0,0,0,0,0,0
?,'Federico Cardoso','mojono ',0,0,0,0,0,0,0,1,0,0,0,0
?,'Federico Cardoso','como te ir allí ? ',0,0,0,1,1,1,1,0,0,1,0,0
?,'Federico Cardoso','seguir con el niño este ? ',0,0,2,2,0,0,0,0,1,1,0,0
?,'Federico Cardoso','el ostra vez hablábamos can el gordo q seriar de tu vida ',0,1,3,4,2,1,0,0,1,0,0,0
?,'Martín Mineo','uno luce ! ! ! w_o_o_o_o_w_w_w ! ! machismo jajay ',0,1,1,2,0,0,0,1,0,5,0,0
?,'Martín Mineo','acá ... mm uno din de este hablar cuando tener mas tiempo ',1,0,1,2,2,1,2,1,1,1,0,0
?,'Martín Mineo','pero se me este hacer difícil ',1,0,0,0,1,3,1,0,0,0,0,0
?,'Federico Cardoso','porque hincho ? ',0,0,0,1,0,0,1,0,0,1,0,0
?,'Federico Cardoso','por el gato \' ',0,0,1,1,0,0,0,0,1,1,0,0
?,'Federico Cardoso','o extraño ? ',1,0,0,0,0,0,1,0,0,1,0,0
?,'Federico Cardoso','gasto ? ',0,0,0,1,0,0,0,0,0,1,0,0
?,'Federico Cardoso','ojoso ',0,0,0,0,0,0,0,1,0,0,0,0
?,'Martín Mineo','estar muy emocional ahora , y alguno cosa de el que hacer no me salir ',1,3,2,1,3,2,1,0,1,1,0,0
?,'Martín Mineo','entonces me frustro y me presionar porque no cumplir con el objetivo ',1,2,1,1,2,2,2,0,1,0,0,0
?,'Martín Mineo','y así ',0,0,0,1,0,0,1,0,0,0,0,0
?,'Martín Mineo','con este chico , que se llamar ms_han_ti , estar que si , que no , que si , que no ... ',0,2,1,2,2,2,6,0,1,6,0,0
?,'Martín Mineo','ni ese me salir bien ',0,1,0,0,1,2,1,0,0,0,0,0
?,'Martín Mineo','ahora parecer que estar en uno ny , uno la_a_a_ar_g_o ',0,1,1,1,3,1,1,0,1,1,0,0
?,'Martín Mineo','hasta que él este mas estable , terminar con el novio hacer poco y no tener el cabeza para meter se en otro relaciona ',1,2,4,3,4,2,3,0,4,1,0,0
?,'Federico Cardoso','claro , entiendo guay como le decir con se nombre ',0,1,0,5,0,2,1,0,0,1,0,0
?,'Federico Cardoso','sha ? ',0,0,0,1,0,0,0,0,0,1,0,0
?,'Federico Cardoso','este bueno ',1,0,1,0,0,0,0,0,0,0,0,0
?,'Martín Mineo','jajajá ms_han_ti le decir ',0,0,0,1,1,1,0,1,0,0,0,0
?,'Martín Mineo','si , lindo nombre ',1,0,0,1,0,0,1,0,0,1,0,0
?,'Federico Cardoso','y obvio q todo ir ser mas difícil ',2,0,0,0,2,1,3,0,0,0,0,0
?,'Martín Mineo','si , se me este complicar , teme extraño ',1,0,0,1,1,3,1,0,0,2,0,0
?,'Federico Cardoso','suma le el crisis de el 30 ',0,0,2,1,1,1,0,0,1,0,1,0
?,'Martín Mineo','j_j_aja_ja_ja_ja ',0,0,0,0,0,0,0,1,0,0,0,0
?,'Martín Mineo','ese no me agarrar ',0,1,0,0,1,2,0,0,0,0,0,0
?,'Martín Mineo','pero a vez necesitar uno abrazo ',0,0,1,2,1,0,1,0,1,0,0,0
?,'Federico Cardoso','ese pensase vos ... ',0,0,0,1,0,2,0,0,0,1,0,0
?,'Martín Mineo','hoy ser de ese dial ',0,1,1,1,1,0,0,0,1,0,0,0
?,'Federico Cardoso','y claro ',0,1,0,0,0,0,1,0,0,0,0,0
?,'Federico Cardoso','no viajar nadie de tu flip ',0,1,1,1,1,1,0,0,1,0,0,0
